
I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
           1     132.45          333.2925                                       
           1     160.07          333.2925                                       
           1     215.56          333.2925                                       
           1     225.24          333.2925                                       
           1      230.2          333.2925                                       
           1      266.6          333.2925                                       
           1     382.79          333.2925                                       
           1     394.71          333.2925                                       
           1     469.53          333.2925                                       
           1     471.57          333.2925                                       
           1     488.25          333.2925                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
           1     562.54          333.2925                                       
           4     152.14            405.21                                       
           4     190.56            405.21                                       
           4     196.52            405.21                                       
           4     204.03            405.21                                       
           4     264.66            405.21                                       
           4     347.01            405.21                                       
           4     358.26            405.21                                       
           4     456.76            405.21                                       
           4     470.54            405.21                                       
           4     492.96            405.21                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
           4     657.85            405.21                                       
           4    1071.23            405.21                                       
           5     103.52           240.775                                       
           5     126.58           240.775                                       
           5     140.43           240.775                                       
           5     146.57           240.775                                       
           5     197.62           240.775                                       
           5     208.33           240.775                                       
           5     342.05           240.775                                       
           5     362.86           240.775                                       
           5     371.61           240.775                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
           5     431.06           240.775                                       
           9      12.57        262.386667                                       
           9      95.15        262.386667                                       
           9     143.91        262.386667                                       
           9     168.02        262.386667                                       
           9     214.08        262.386667                                       
           9     336.14        262.386667                                       
           9        350        262.386667                                       
           9     362.77        262.386667                                       
           9     363.44        262.386667                                       
           9     429.24        262.386667                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
           9     436.01        262.386667                                       
          10     276.14        902.443333                                       
          10     287.14        902.443333                                       
          10     369.88        902.443333                                       
          10     451.66        902.443333                                       
          10     508.65        902.443333                                       
          10     539.96        902.443333                                       
          10     726.97        902.443333                                       
          10    1184.06        902.443333                                       
          10    1304.08        902.443333                                       
          10    2053.34        902.443333                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          10    2143.78        902.443333                                       
          11       6.82             319.8                                       
          11      39.94             319.8                                       
          11     104.46             319.8                                       
          11     208.65             319.8                                       
          11     216.73             319.8                                       
          11     277.84             319.8                                       
          11      361.6             319.8                                       
          11     392.86             319.8                                       
          11     410.53             319.8                                       
          11     493.92             319.8                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          11     530.81             319.8                                       
          11     793.44             319.8                                       
          12        7.1          334.9925                                       
          12      82.35          334.9925                                       
          12     121.08          334.9925                                       
          12     219.03          334.9925                                       
          12     257.51          334.9925                                       
          12     257.68          334.9925                                       
          12     285.13          334.9925                                       
          12     369.68          334.9925                                       
          12     410.45          334.9925                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          12     413.19          334.9925                                       
          12     798.12          334.9925                                       
          12     798.59          334.9925                                       
          13      62.06           239.925                                       
          13       77.3           239.925                                       
          13      88.63           239.925                                       
          13     135.46           239.925                                       
          13     136.29           239.925                                       
          13     149.22           239.925                                       
          13     195.29           239.925                                       
          13     334.76           239.925                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          13     366.47           239.925                                       
          13     509.95           239.925                                       
          13     572.85           239.925                                       
          16      397.7        1364.17333                                       
          16     461.64        1364.17333                                       
          16     514.22        1364.17333                                       
          16     664.32        1364.17333                                       
          16     699.54        1364.17333                                       
          16    1007.75        1364.17333                                       
          16    1156.51        1364.17333                                       
          16    1962.72        1364.17333                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          16    2505.98        1364.17333                                       

100 rows selected.

timing for: t
Elapsed: 00:00:02.92
