
I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
           1      63.15        280.635833                                       
           1      71.71        280.635833                                       
           1     144.99        280.635833                                       
           1     151.21        280.635833                                       
           1     154.15        280.635833                                       
           1      168.8        280.635833                                       
           1     208.66        280.635833                                       
           1     313.48        280.635833                                       
           1     436.62        280.635833                                       
           1     467.05        280.635833                                       
           1     586.47        280.635833                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
           1     601.34        280.635833                                       
           4     145.93          365.3225                                       
           4     160.06          365.3225                                       
           4     198.94          365.3225                                       
           4     255.14          365.3225                                       
           4     266.68          365.3225                                       
           4     290.25          365.3225                                       
           4     502.35          365.3225                                       
           4     625.28          365.3225                                       
           4     855.62          365.3225                                       
           9      22.21        392.570833                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
           9     166.03        392.570833                                       
           9     194.05        392.570833                                       
           9     226.77        392.570833                                       
           9     288.45        392.570833                                       
           9      347.1        392.570833                                       
           9     437.57        392.570833                                       
           9     579.53        392.570833                                       
           9      641.2        392.570833                                       
           9     700.66        392.570833                                       
           9      751.8        392.570833                                       
          10     197.58        991.399167                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          10     588.79        991.399167                                       
          10     604.09        991.399167                                       
          10     606.49        991.399167                                       
          10     626.05        991.399167                                       
          10     642.79        991.399167                                       
          10    1407.75        991.399167                                       
          10    1475.66        991.399167                                       
          10    1498.57        991.399167                                       
          10    1557.92        991.399167                                       
          10    1750.97        991.399167                                       
          11      74.91        306.910833                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          11      79.96        306.910833                                       
          11     116.06        306.910833                                       
          11     196.32        306.910833                                       
          11     243.15        306.910833                                       
          11     247.68        306.910833                                       
          11     267.11        306.910833                                       
          11     411.79        306.910833                                       
          11     474.89        306.910833                                       
          11     534.29        306.910833                                       
          11     713.54        306.910833                                       
          12      96.88        313.779167                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          12     162.51        313.779167                                       
          12     170.48        313.779167                                       
          12     203.51        313.779167                                       
          12     232.67        313.779167                                       
          12     260.68        313.779167                                       
          12     261.19        313.779167                                       
          12     362.68        313.779167                                       
          12     526.02        313.779167                                       
          12     552.49        313.779167                                       
          12     643.09        313.779167                                       
          13      25.97        350.428333                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          13     133.61        350.428333                                       
          13     161.89        350.428333                                       
          13     221.77        350.428333                                       
          13     228.49        350.428333                                       
          13     402.14        350.428333                                       
          13     430.36        350.428333                                       
          13     596.31        350.428333                                       
          13     643.06        350.428333                                       
          13     686.37        350.428333                                       
          16     174.09        736.888333                                       
          16     303.25        736.888333                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          16     334.51        736.888333                                       
          16     362.34        736.888333                                       
          16     423.42        736.888333                                       
          16     655.31        736.888333                                       
          16     936.36        736.888333                                       
          16     970.05        736.888333                                       
          16    1085.39        736.888333                                       
          16    1121.84        736.888333                                       
          16    1796.41        736.888333                                       
          18      53.12            306.19                                       
          18     115.91            306.19                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          18      118.3            306.19                                       
          18     167.16            306.19                                       
          18     198.79            306.19                                       
          18      258.9            306.19                                       
          18     384.08            306.19                                       
          18      439.6            306.19                                       
          18     447.04            306.19                                       
          18     453.27            306.19                                       
          18     731.29            306.19                                       
          21      28.11        336.211667                                       
          21        187        336.211667                                       

I_MANAGER_ID  SUM_SALES AVG_MONTHLY_SALES                                       
------------ ---------- -----------------                                       
          21     193.99        336.211667                                       

100 rows selected.

timing for: t
Elapsed: 00:00:01.92
