query_number,execution_time(seconds)
1,0.61
2,3.82
3,0.64
4,10.62
5,18.29
6,2.63
7,11.92
8,0.59
9,18.64
10,5.09
11,5.61
12,1.08
13,18.49
14,34.3
15,2.12
16,3.34
17,96.6
18,2.43
19,20.81
20,1.68
21,1.95
22,4.33
23,28.22
24,88.95
25,28.69
26,12.61
27,2.33
28,11.26
29,16.75
30,1.5
31,3.25
32,0.38
33,4.61
34,2.61
36,2.33
37,0.08
38,4.72
39,5.62
40,1.87
41,0.06
42,5.93
43,2.42
44,1.92
45,1.75
46,2.65
47,6.4
48,18.62
49,1.4
50,1.07
51,7.42
52,5.26
53,2.02
54,3.12
55,2.39
56,4.64
57,3.79
58,4.62
59,2.22
60,4.56
61,0.04
62,1.19
63,1.92
64,2.78
65,4.34
66,3.39
67,5.76
68,2.29
70,4.06
71,4.7
72,21.43
73,2.01
74,5.4
75,6.26
76,4.49
77,5.15
78,14.33
79,2.21
80,5.19
81,0.63
82,0.07
83,0.72
84,0.39
85,9.93
86,1.15
87,4.97
88,15.07
89,2.1
90,2.03
91,0.54
92,0.06
93,3.37
94,2.16
95,48.89
96,1.86
97,4.56
98,4.74
99,2.14
